FID,省份,贫困县名,X,Y,地址类型,脱贫时间
202,河北,平泉市,118.694832,41.01588231,区县,2018年9月28日正式退出
203,河北,平山县,113.972669,38.26524845,区县,2018年9月28日正式退出
204,河北,平乡县,115.0239644,37.06281499,区县,2018年9月28日正式退出
205,河北,青龙县,118.9440058,40.40558501,区县,2018年9月28日正式退出
206,河北,曲阳县,114.7389363,38.62163087,区县,2019年5月5日正式退出
207,河北,饶阳县,115.7199627,38.23465648,区县,2018年9月28日正式退出
208,河北,尚义县,113.9626247,41.07461475,区县,2020年2月29日正式退出
209,河北,顺平县,115.1286416,38.83667083,区县,2019年5月5日正式退出
210,河北,唐县,114.9769528,38.74722609,区县,2019年5月5日正式退出
211,河北,万全区,114.7346718,40.76554212,区县,2019年5月5日正式退出
212,河北,望都县,115.1486966,38.69356918,区县,2017年11月1日宣布退出贫困县
213,河北,威县,115.2610311,36.97545314,区县,2018年9月28日正式退出
214,河北,围场县,117.7533089,41.93638283,区县,2020年2月29日正式退出
215,河北,蔚县,114.5830106,39.83980944,区县,2020年2月29日正式退出
216,河北,魏县,114.9333591,36.36008238,区县,2018年9月28日正式退出
217,河北,武强县,115.9771516,38.04055587,区县,2019年5月5日正式退出
218,河北,武邑县,115.8822977,37.80124318,区县,2018年9月28日正式退出
219,河北,新河县,115.2359764,37.52807962,区县,2019年5月5日正式退出
220,河北,行唐县,114.5471138,38.43801283,区县,2019年5月5日正式退出
221,河北,宣化区,115.0923869,40.60685703,区县,2019年5月5日正式退出
222,河北,盐山县,117.2248582,38.05727658,区县,2018年9月28日正式退出
223,河北,阳原县,114.1443309,40.10229064,区县,2020年2月29日正式退出
224,河北,易县,115.490744,39.34831712,区县,2018年9月28日正式退出
225,河北,赞皇县,114.3797335,37.664705,区县,2019年5月5日正式退出
226,河北,张北县,114.7136396,41.15683618,区县,2020年2月29日正式退出
227,河南,郸城县,115.1712978,33.6461099,区县,2019年5月9日正式退出
228,河南,范县,115.4981751,35.8520604,区县,2020年2月28日正式退出
229,河南,封丘县,114.4130421,35.04170154,区县,2019年5月9日正式退出
230,河南,固始县,115.6487079,32.17033526,区县,2019年5月9日正式退出
231,河南,光山县,114.9138115,32.01236426,区县,2019年5月9日正式退出
232,河南,滑县,114.5133109,35.57544721,区县,2017年11月1日正式退出
233,河南,淮滨县,115.414281,32.47523987,区县,2020年2月28日正式退出
234,河南,淮阳县,114.8806608,33.73325297,区县,2019年5月9日正式退出
235,河南,潢川县,115.0464026,32.13347248,区县,2019年5月9日正式退出
236,河南,兰考县,114.8154439,34.8232949,区县,2017年3月27日正式退出
237,河南,卢氏县,111.0421118,34.05553495,区县,2020年2月28日正式退出
238,河南,鲁山县,112.902107,33.74028927,区县,2020年2月28日正式退出
239,河南,栾川县,111.6101357,33.78729173,区县,2019年5月9日正式退出
240,河南,洛宁县,111.6470088,34.39075848,区县,2019年5月9日正式退出
